"","statename","year","mean_tot_pop_15to64","mean_jail_pop_15to64","mean_aapi_pop_15to64","mean_black_pop_15to64","mean_latinx_pop_15to64","mean_native_pop_15to64","mean_white_pop_15to64","mean_aapi_jail_pop","mean_black_jail_pop","mean_latinx_jail_pop","mean_native_jail_pop","mean_white_jail_pop","aapi_jail_prop","black_jail_prop","latinx_jail_prop","native_jail_prop","white_jail_prop"
"136","OH",2014,271279,678,6541,35412,9083,746,219497,3,259,26,1,403,0.00442477876106195,0.382005899705015,0.0383480825958702,0.00147492625368732,0.594395280235988
"137","OH",2015,270778,665,6877,35686,9379,743,218093,3,237,33,1,398,0.00451127819548872,0.356390977443609,0.0496240601503759,0.00150375939849624,0.598496240601504
"138","OH",2016,270124,689,7230,35913,9703,742,216536,3,234,33,1,421,0.00435413642960813,0.339622641509434,0.0478955007256894,0.00145137880986938,0.611030478955007
"139","OH",2017,269562,697,7552,36136,10076,743,215055,3,252,30,1,423,0.00430416068866571,0.36154949784792,0.0430416068866571,0.00143472022955524,0.606886657101865
"140","OH",2018,268854,705,7870,36370,10511,742,213362,2,264,26,1,424,0.00283687943262411,0.374468085106383,0.0368794326241135,0.00141843971631206,0.601418439716312
"141","PA",1999,276724,953,5751,26866,8346,424,235338,12,440,90,2,420,0.012591815320042,0.461699895068206,0.0944386149003148,0.00209863588667366,0.440713536201469
"142","PA",2000,283842,1054,6239,28194,9095,450,239863,11,494,113,2,447,0.0104364326375712,0.468690702087287,0.107210626185958,0.00189753320683112,0.424098671726755
"143","PA",2001,285318,1143,6540,28567,9678,462,240071,13,507,120,2,494,0.0113735783027122,0.443569553805774,0.10498687664042,0.00174978127734033,0.432195975503062
"144","PA",2002,287381,1181,6896,29069,10347,472,240596,16,525,123,2,549,0.0135478408128704,0.444538526672312,0.104149026248942,0.00169348010160881,0.464860287891617
"145","PA",2003,289691,1187,7259,29641,11064,484,241244,19,502,132,3,578,0.0160067396798652,0.422914911541702,0.111204717775906,0.0025273799494524,0.486941870261163
"146","PA",2004,291866,1250,7589,30242,11821,496,241719,15,518,129,3,579,0.012,0.4144,0.1032,0.0024,0.4632
"147","PA",2005,294254,1283,7940,30860,12647,507,242300,18,522,137,3,610,0.0140296180826189,0.406858924395947,0.106780982073266,0.00233826968043648,0.475448168355417
"148","PA",2006,296743,1379,8294,31536,13563,515,242835,18,572,150,3,629,0.0130529369108049,0.414793328498912,0.108774474256708,0.00217548948513416,0.456127628716461
"149","PA",2007,298574,1397,8628,32127,14457,525,242837,12,591,167,3,599,0.00858983536148891,0.423049391553329,0.119541875447387,0.00214745884037223,0.428775948460988
"150","PA",2008,299745,1415,8947,32635,15312,534,242316,12,583,168,3,631,0.00848056537102473,0.412014134275618,0.118727915194346,0.00212014134275618,0.445936395759717
"151","PA",2009,301318,1411,9287,33178,16180,543,242130,16,588,171,3,622,0.0113394755492558,0.416725726435152,0.121190644932672,0.00212615166548547,0.440822111977321
"152","PA",2010,302645,1408,9627,33586,16955,546,241931,15,565,168,3,616,0.0106534090909091,0.401278409090909,0.119318181818182,0.00213068181818182,0.4375
"153","PA",2011,303680,1367,10002,33919,17654,553,241551,18,553,161,3,627,0.0131675201170446,0.404535479151426,0.11777615215801,0.0021945866861741,0.458668617410388
"154","PA",2012,302645,1394,10339,34165,18346,554,239241,10,572,167,3,655,0.00717360114777618,0.410329985652798,0.119799139167862,0.00215208034433285,0.46987087517934
"155","PA",2013,301825,1442,10703,34377,18936,552,237257,11,577,160,4,636,0.00762829403606103,0.400138696255201,0.110957004160888,0.00277392510402219,0.441054091539528
"156","PA",2014,300958,1421,11077,34516,19640,552,235174,18,561,153,3,652,0.0126671358198452,0.394792399718508,0.107670654468684,0.00211118930330753,0.458831808585503
"157","PA",2015,299817,1386,11369,34627,20327,553,232941,12,522,137,4,658,0.00865800865800866,0.376623376623377,0.0988455988455988,0.00288600288600289,0.474747474747475
"158","PA",2016,298421,1345,11736,34712,21090,552,230331,10,512,150,3,611,0.00743494423791822,0.380669144981413,0.111524163568773,0.00223048327137546,0.454275092936803
"159","PA",2017,296990,1329,12093,34799,21915,550,227632,10,508,156,3,638,0.00752445447705041,0.382242287434161,0.117381489841986,0.00225733634311512,0.480060195635816
"160","PA",2018,295891,1293,12483,34930,22881,550,225046,7,461,135,2,611,0.00541376643464811,0.356535189481825,0.104408352668213,0.00154679040989946,0.472544470224285
"161","IL",1999,286090,602,11263,42334,34468,566,197459,6,350,64,1,174,0.00996677740863787,0.581395348837209,0.106312292358804,0.00166112956810631,0.289036544850498
"162","IL",2000,288624,634,11852,42672,36267,592,197240,2,386,64,1,185,0.00315457413249211,0.608832807570978,0.100946372239748,0.00157728706624606,0.291798107255521
"163","IL",2001,290651,660,12317,42782,37558,599,197394,4,398,75,1,199,0.00606060606060606,0.603030303030303,0.113636363636364,0.00151515151515152,0.301515151515152
"164","IL",2002,292286,693,12775,42889,38746,600,197276,4,410,80,1,211,0.00577200577200577,0.591630591630592,0.115440115440115,0.00144300144300144,0.304473304473304
